#SampleID	SRR15678350	SRR15678360	SRR15678370	SRR15678380	SRR15678390	SRR15678351	SRR15678361	SRR15678371	SRR15678381	SRR15678391	SRR15678352	SRR15678362	SRR15678372	SRR15678382	SRR15678392	SRR15678353	SRR15678363	SRR15678373	SRR15678383	SRR15678393	SRR15678354	SRR15678364	SRR15678374	SRR15678384	SRR15678394	SRR15678355	SRR15678365	SRR15678375	SRR15678385	SRR15678395	SRR15678346	SRR15678356	SRR15678366	SRR15678376	SRR15678386	SRR15678396	SRR15678347	SRR15678357	SRR15678367	SRR15678377	SRR15678387	SRR15678397	SRR15678348	SRR15678358	SRR15678368	SRR15678378	SRR15678388	SRR15678349	SRR15678359	SRR15678369	SRR15678379	SRR15678389
sk__Bacteria;k__;p__Ignavibacteriae;c__Ignavibacteria;o__Ignavibacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Nitrospinae;c__Nitrospinia;o__Nitrospinales;f__Nitrospinaceae	0	6	0	0	2	0	4	0	0	0	0	0	0	2	0	2	0	0	2	0	0	0	1	0	0	0	0	0	9	0	4	0	0	1	3	14	8	0	1	3	0	0	0	1	10	0	0	0	0	1	0	1
sk__Bacteria;k__;p__Nitrospinae;c__Nitrospinia;o__Nitrospinales;f__Nitrospinaceae;g__Nitrospina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
sk__Bacteria;k__;p__Nitrospinae;c__Nitrospinia;o__Nitrospinales;f__Nitrospinaceae;g__Nitrospina;s__Nitrospina_sp._LS_NOB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Planctomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
sk__Bacteria;k__;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Rhodopirellula	0	0	0	0	0	11	0	0	2	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	1	0	0	0	0	0	5	0	0	0	0	0	2	0	4	0	2	0
sk__Bacteria;k__;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
sk__Bacteria;k__;p__Proteobacteria	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	1
